image,stage,TN,FP,FN,TP,accuracy,precision,recall,iou,dice
Abyssinian_25,before,12327,18868,1624,6314,0.4763498837298444,0.2507346517353665,0.7954144620811288,0.23554428113109005,0.38128019323671497
Abyssinian_25,after,12703,18492,1682,6256,0.4844760176832852,0.2527881040892193,0.7881078357268834,0.23670071888006053,0.38279385669705684
Bengal_21,before,23197,3050,13,10582,0.9168611910319744,0.7762617370892019,0.9987730061349693,0.7755221692927813,0.8735708094274982
Bengal_21,after,23520,2727,2,10593,0.9259269312198035,0.7952702702702703,0.9998112317130722,0.7951508782465095,0.8858875182939577
Birman_44,before,17541,10063,4755,9040,0.6420686490011837,0.47322410092655603,0.6553098948894527,0.37890854220806436,0.5495774819137942
Birman_44,after,17696,9908,5044,8751,0.6388318558419286,0.46899619486574845,0.6343602754621239,0.36919377294013417,0.539286374560917
Birman_5,before,10956,11501,2738,14334,0.6397834501252245,0.554828720727695,0.8396204311152765,0.5016624085675288,0.6681427272939148
Birman_5,after,11428,11029,2828,14244,0.649447241265906,0.5636054287183951,0.834348641049672,0.5068858759474751,0.6727594757350337
British_Shorthair_258,before,16754,11553,1138,13919,0.7073378839590444,0.5464431532663316,0.9244205352991964,0.5230740323186772,0.6868661945767228
British_Shorthair_258,after,16775,11532,1143,13914,0.7077068536112905,0.5468049988210327,0.9240884638374178,0.5232991086539547,0.6870602177616473
British_Shorthair_269,before,39357,82,0,14777,0.9984875313560573,0.9944814590483881,1.0,0.9944814590483881,0.9972330948845998
British_Shorthair_269,after,39357,82,0,14777,0.9984875313560573,0.9944814590483881,1.0,0.9944814590483881,0.9972330948845998
British_Shorthair_65,before,12840,13602,188,13020,0.6522068095838588,0.4890691908947487,0.9857662023016354,0.4856396866840731,0.6537785588752196
British_Shorthair_65,after,13437,13005,131,13077,0.6687011349306431,0.5013802622498275,0.9900817686250757,0.4988746042040209,0.6656655637566811
Egyptian_Mau_56,before,31200,1499,6230,6184,0.8286746614058033,0.8048939216451907,0.4981472531013372,0.4444763889887156,0.6154152361048912
Egyptian_Mau_56,after,31404,1295,7140,5274,0.8130250703788265,0.8028619272339778,0.4248429192846786,0.3847107739441243,0.5556550597903387
Egyptian_Mau_57,before,5926,21999,10055,10676,0.3412117724432752,0.32673297628156084,0.5149775698229704,0.2498478820500819,0.3998052653259933
Egyptian_Mau_57,after,6020,21905,10807,9924,0.32768826044064453,0.3117911338716265,0.4787033910568714,0.23276104700253308,0.3776255707762557
Maine_Coon_89,before,30870,0,2104,20808,0.9608791045331152,1.0,0.9081703910614525,0.9081703910614525,0.9518755718206771
Maine_Coon_89,after,30870,0,2054,20858,0.9618087836078986,1.0,0.9103526536312849,0.9103526536312849,0.9530728809687
Persian_264,before,11368,15404,136,16858,0.6449298542247407,0.5225342508213998,0.9919971754736966,0.5203407617754182,0.6845054409615072
Persian_264,after,11731,15041,128,16866,0.6534067541013572,0.5285987400883818,0.9924679298575968,0.5264866552208521,0.6898018445430564
Ragdoll_82,before,10791,0,4268,23411,0.8890564075903301,1.0,0.845803677878536,0.845803677878536,0.9164611469954982
Ragdoll_82,after,10791,0,4644,23035,0.8792825578372758,1.0,0.8322193720871419,0.8322193720871419,0.9084276531135387
Sphynx_240,before,7795,28070,740,7434,0.3458071255023956,0.20938485804416404,0.9094690482016149,0.20510981127910827,0.3404002014744265
Sphynx_240,after,7948,27917,741,7433,0.3492586116850973,0.21026874115983027,0.909346709077563,0.20595162228810507,0.3415586802683577
Sphynx_245,before,21574,7630,668,15326,0.8164078056551175,0.6676250217807981,0.9582343378767038,0.6487470369116153,0.7869576379974326
Sphynx_245,after,21576,7628,650,15344,0.8168503031107571,0.6679435834929479,0.9593597599099662,0.6495639657945983,0.7875583842324078
Sphynx_27,before,15054,8971,6498,16990,0.6744259465830404,0.6544432032664381,0.7233480926430518,0.5234295572876552,0.6871726425205767
Sphynx_27,after,15166,8859,6652,16836,0.6735419779849725,0.6552247518972563,0.716791553133515,0.5204810337898415,0.684626801943761
american_bulldog_217,before,9433,25798,1091,13564,0.4609910596159243,0.3445963111630507,0.9255544182872739,0.3353026969569624,0.5022122665086917
american_bulldog_217,after,9484,25747,1064,13591,0.46255462454396024,0.3454929076211297,0.9273967929034459,0.3363942379090144,0.5034356305447002
american_bulldog_80,before,29499,10366,220,1140,0.7432140691328077,0.09907874152616027,0.8382352941176471,0.0972198533174143,0.1772112544691435
american_bulldog_80,after,33164,6701,211,1149,0.8323347483323226,0.14636942675159237,0.8448529411764706,0.1425381466319315,0.2495114006514658
basset_hound_31,before,11810,15716,1486,9985,0.5588891453188707,0.38850628380218666,0.8704559323511464,0.3672711222275352,0.5372323254062198
basset_hound_31,after,12847,14679,1373,10098,0.5883785932251199,0.40755539411551034,0.8803068607793566,0.3861567877629063,0.5571617744427279
basset_hound_83,before,22744,12415,1638,3082,0.6476090172772637,0.19887720203910433,0.6529661016949152,0.17986577181208055,0.30489192263936293
basset_hound_83,after,22886,12273,1774,2946,0.6477594724040222,0.1935738221959393,0.6241525423728813,0.17336550344259402,0.295501278900647
basset_hound_99,before,13111,36623,1043,6247,0.3394710998877666,0.14571961744809891,0.8569272976680384,0.14225855669164028,0.2490829346092504
basset_hound_99,after,13545,36189,984,6306,0.3481165824915825,0.14839392869749382,0.8650205761316873,0.14503553439591527,0.25332931605905396
beagle_28,before,12710,283,3557,16354,0.8832968636032094,0.9829897217046343,0.8213550298829793,0.8098445082697832,0.8949326912553355
beagle_28,after,12898,95,3641,16270,0.886457573547289,0.9941949282004278,0.8171362563407162,0.8132560231930421,0.8970117984342265
boxer_35,before,16914,23279,658,2331,0.4456718076976518,0.09101913315111285,0.7798594847775175,0.08873915029693924,0.1630126927514948
boxer_35,after,17906,22287,625,2364,0.4694085498587374,0.09589874650115614,0.7908999665439946,0.09352745687608799,0.1710564399421129
boxer_97,before,1640,1584,18779,39377,0.6682469859889215,0.9613290691145235,0.677092647362267,0.6591396049548042,0.7945559288517611
boxer_97,after,1624,1600,19720,38436,0.6526555881394591,0.9600359676291338,0.6609120297131852,0.6432157440257046,0.7828743685839987
chihuahua_99,before,20508,11912,2309,5801,0.6491241056007896,0.32749957658217127,0.7152897657213317,0.28973129557486765,0.4492893931766255
chihuahua_99,after,20660,11760,2306,5804,0.6529484332593141,0.330448644955591,0.7156596794081381,0.2920986411675893,0.45213056009971175
english_cocker_spaniel_26,before,2941,22308,1310,12034,0.3880237348742,0.350416399743754,0.9018285371702638,0.3375406709301021,0.5047183659774357
english_cocker_spaniel_26,after,3034,22215,1313,12031,0.3903557639986526,0.35131110202651405,0.9016037170263789,0.3383390983998425,0.5056104223576382
english_setter_97,before,10083,29285,515,1174,0.2741797988162798,0.03854361600840474,0.6950858496151568,0.03790275715115904,0.07303720293641906
english_setter_97,after,11889,27479,550,1139,0.317314952383272,0.039800125794954226,0.6743635287152161,0.03904964344487109,0.07516415349589203
german_shorthaired_200,before,9785,19002,759,10328,0.5044139037969604,0.3521309239686328,0.93154144493551,0.3432483631892054,0.5110720736323824
german_shorthaired_200,after,9531,19256,400,10687,0.5070471986758288,0.35691146511705574,0.9639217101109407,0.3522064397060278,0.5209359005605655
german_shorthaired_33,before,15556,12779,349,11008,0.669253250025194,0.4627737839996637,0.9692700537113674,0.45608220086178325,0.6264511723195993
german_shorthaired_33,after,15658,12677,169,11188,0.6763579562632268,0.46880368740833855,0.9851193096768512,0.465507198135974,0.6352847652035659
german_shorthaired_8,before,1981,11950,6944,15787,0.4846435000818286,0.5691675379457043,0.6945140996876512,0.45520602058764165,0.6256241578822224
german_shorthaired_8,after,1907,12024,7060,15671,0.4794610223119306,0.5658422097851598,0.6894109366063965,0.450899151201266,0.6215444413596161
great_pyrenees_71,before,26093,6374,363,11363,0.847555042653814,0.6406382139031404,0.9690431519699813,0.6277900552486188,0.7713403251535824
great_pyrenees_71,after,29754,2713,351,11375,0.9306677528115312,0.8074247586598523,0.9700665188470067,0.7877969388461805,0.8813047183698768
great_pyrenees_77,before,19581,8959,402,11042,0.7658813525410164,0.552072396380181,0.9648724222299895,0.5411949223153458,0.7023056129750358
great_pyrenees_77,after,23036,5504,352,11092,0.8535414165666266,0.668353820197638,0.9692415239426774,0.6544725041302809,0.7911554921540657
japanese_chin_42,before,8483,11407,4189,12278,0.571031713287675,0.518387164872282,0.7456124369952025,0.4404821697639377,0.6115760111576011
japanese_chin_42,after,8481,11409,4052,12415,0.5747448909425971,0.5211131631967764,0.7539321066375174,0.4453651886927823,0.6162666600481497
japanese_chin_54,before,4426,35082,442,5953,0.2261072261072261,0.1450712806141099,0.9308835027365129,0.14352532728982328,0.25102255956145897
japanese_chin_54,after,4427,35081,378,6017,0.22752325556063874,0.14640615115090758,0.9408913213448006,0.14507184878001736,0.2533847093255848
keeshond_62,before,11716,1204,13766,16693,0.6549021415892482,0.9327261552215456,0.5480481959355199,0.527208413605786,0.6904210439242287
keeshond_62,after,12218,702,14076,16383,0.6593282463865003,0.9589113257243196,0.5378705801241013,0.525753345528064,0.6891721352852095
leonberger_191,before,14506,9056,3103,16424,0.7178166121283854,0.6445839874411303,0.8410918215803759,0.5746072840499598,0.7298420245739552
leonberger_191,after,14848,8714,3102,16425,0.7257768804103135,0.6533672779346832,0.8411430327239208,0.5816012180871782,0.7354587381901222
newfoundland_23,before,23989,19460,38,7553,0.6179858934169279,0.2796061155739829,0.9949940719272823,0.27921333776939855,0.4365391284244596
newfoundland_23,after,29869,13580,28,7563,0.733385579937304,0.357707042519983,0.9963114214201028,0.3572339521042936,0.5264147003549802
newfoundland_56,before,5409,16757,1766,15949,0.5355432411423986,0.4876475264477466,0.9003104713519616,0.46266535158969596,0.6326332282184011
newfoundland_56,after,5552,16614,1688,16027,0.5410847270630125,0.4910082411690818,0.9047135196161445,0.4668647499198928,0.6365477798077687
newfoundland_82,before,11816,5854,98,17142,0.829504439988542,0.7454339885197425,0.9943155452436195,0.7422707196674461,0.8520727706531465
newfoundland_82,after,13689,3981,92,17148,0.8833285591521054,0.81158597188698,0.9946635730858469,0.8080674803260921,0.8938465949073471
pomeranian_39,before,15021,24686,4787,9262,0.4517263189225389,0.27282903263815245,0.6592640045554844,0.23911191428940234,0.3859407879659145
pomeranian_39,after,15190,24517,4753,9296,0.45550264156559267,0.2749238458581019,0.661684105630294,0.24104133174298606,0.3884501274497514
pomeranian_86,before,212,5860,25682,14475,0.31770101018840985,0.7118268994344726,0.36046019373957217,0.31455766347219505,0.4785756794286848
pomeranian_86,after,197,5875,26746,13411,0.2943606826883558,0.6953748833350617,0.3339641905520831,0.29134080639555093,0.4512221792305234
pomeranian_92,before,18238,5529,0,13730,0.8525482038563085,0.7129134430655797,1.0,0.7129134430655797,0.832398678347328
pomeranian_92,after,20913,2854,0,13730,0.9238872443128784,0.8279064158224795,1.0,0.8279064158224795,0.9058520815464802
saint_bernard_80,before,12359,25683,1249,1998,0.34771973164765435,0.07217947328492468,0.6153372343701878,0.06906325613549948,0.1292033109156751
saint_bernard_80,after,13282,24760,1233,2014,0.37046186635665673,0.07522223052214835,0.6202648598706498,0.0719105937801264,0.1341727457446454
saint_bernard_92,before,22946,733,7430,9734,0.8001371103983547,0.9299703831088182,0.5671172220927523,0.5438900374364418,0.7045709529152039
saint_bernard_92,after,23022,657,8051,9113,0.78679333055848,0.9327533265097236,0.530936844558378,0.5113629987093878,0.6766911710106186
samoyed_56,before,8463,7626,1540,16939,0.734841471881509,0.6895583146753511,0.91666215704313,0.6488795249952116,0.7870551064027507
samoyed_56,after,8682,7407,1522,16957,0.7416975237213608,0.6959858808077491,0.9176362357270416,0.6550645136367148,0.791587890670588
scottish_terrier_198,before,4993,22887,676,8800,0.3692311810686369,0.27771641367122163,0.9286618826509075,0.2719154590118345,0.4275684473920754
scottish_terrier_198,after,4751,23129,610,8866,0.36451975586251206,0.2771057977809033,0.9356268467707893,0.2719214844349026,0.4275758964095392
shiba_inu_35,before,25203,12739,139,1906,0.6779453322329757,0.1301468077842267,0.9320293398533007,0.12892316017316016,0.22840023966446973
shiba_inu_35,after,27507,10435,122,1923,0.7359891964888589,0.15560770351189512,0.9403422982885086,0.15408653846153847,0.2670277025619663
shiba_inu_52,before,25308,7834,641,8709,0.8005506918949449,0.5264462310342743,0.9314438502673796,0.5068086592178771,0.6726914610126289
shiba_inu_52,after,30645,2497,615,8735,0.926762684740657,0.7776887464387464,0.9342245989304813,0.737317464336963,0.8487999222621708
staffordshire_bull_terrier_35,before,26580,12336,0,4836,0.7180471749862863,0.28162124388539483,1.0,0.28162124388539483,0.4394765539803708
staffordshire_bull_terrier_35,after,30782,8134,0,4836,0.8140884988114829,0.3728604471858134,1.0,0.3728604471858134,0.5431876895428507
wheaten_terrier_193,before,11513,15544,1919,9915,0.5509758041706307,0.3894497034447543,0.8378401216832855,0.36215209292132367,0.5317351781835733
wheaten_terrier_193,after,12111,14946,2002,9832,0.5642179424545525,0.3968036161110663,0.8308264323136725,0.3671396564600448,0.5370916639353217
wheaten_terrier_92,before,23971,15609,628,1893,0.6143322011353649,0.10815906753513885,0.7508925029750099,0.10441257584114727,0.18908255506167906
wheaten_terrier_92,after,25863,13717,738,1783,0.6566589867224056,0.11503225806451613,0.7072590241967474,0.10980416307427023,0.19788025081848953
